# BCs for ATLAS9 + DUSTY99 + blackbody spectra:
#  n     Teff  logg        u        g        r        i        z
 385     9000  4.50   -1.011    0.036   -0.140   -0.336   -0.516
 386     9000  5.00   -0.990    0.005   -0.139   -0.325   -0.516
 387     9250  2.00   -0.862    0.042   -0.205   -0.432   -0.543
 388     9250  2.50   -0.911    0.057   -0.205   -0.436   -0.555
 389     9250  3.00   -0.952    0.056   -0.203   -0.432   -0.566
 390     9250  3.50   -0.982    0.047   -0.200   -0.423   -0.575
 391     9250  4.00   -0.999    0.032   -0.195   -0.412   -0.581
 392     9250  4.50   -1.002    0.012   -0.190   -0.399   -0.584
 393     9250  5.00   -0.988   -0.014   -0.187   -0.387   -0.584
 394     9500  2.00   -0.835   -0.001   -0.254   -0.483   -0.606
 395     9500  2.50   -0.890    0.017   -0.254   -0.491   -0.618
 396     9500  3.00   -0.934    0.018   -0.255   -0.491   -0.631
 397     9500  3.50   -0.968    0.011   -0.253   -0.485   -0.641
 398     9500  4.00   -0.990   -0.002   -0.249   -0.475   -0.649
 399     9500  4.50   -0.997   -0.019   -0.244   -0.463   -0.652
 400     9500  5.00   -0.988   -0.041   -0.240   -0.450   -0.652
 401     9750  2.00   -0.811   -0.046   -0.302   -0.535   -0.669
 402     9750  2.50   -0.871   -0.025   -0.303   -0.544   -0.680
 403     9750  3.00   -0.920   -0.022   -0.306   -0.548   -0.694
 404     9750  3.50   -0.959   -0.028   -0.306   -0.545   -0.707
 405     9750  4.00   -0.985   -0.040   -0.304   -0.538   -0.716
 406     9750  4.50   -0.996   -0.055   -0.299   -0.527   -0.720
 407     9750  5.00   -0.992   -0.074   -0.294   -0.515   -0.721
 408    10000  2.00   -0.790   -0.091   -0.352   -0.586   -0.732
 409    10000  2.50   -0.854   -0.068   -0.352   -0.597   -0.742
 410    10000  3.00   -0.907   -0.063   -0.356   -0.603   -0.756
