# BCs for ATLAS9 + DUSTY99 + blackbody spectra:
#  n     Teff  logg        V        u        v        b        y     Hb_w     Hb_n
 167     3750  0.50   -1.250   -6.723   -4.190   -2.315   -1.217   -1.871    1.258
 168     3750  1.00   -1.241   -6.392   -3.985   -2.242   -1.200   -1.831    1.307
 169     3750  1.50   -1.235   -6.088   -3.803   -2.185   -1.188   -1.804    1.343
 170     3750  2.00   -1.224   -5.807   -3.633   -2.131   -1.172   -1.776    1.377
 171     3750  2.50   -1.206   -5.551   -3.478   -2.074   -1.148   -1.742    1.416
 172     3750  3.00   -1.180   -5.344   -3.350   -2.018   -1.116   -1.706    1.457
 173     3750  3.50   -1.143   -5.188   -3.262   -1.977   -1.076   -1.670    1.496
 174     3750  4.00   -1.091   -5.042   -3.202   -1.946   -1.027   -1.627    1.540
 175     3750  4.50   -1.046   -4.946   -3.172   -1.914   -0.984   -1.587    1.585
 176     3750  5.00   -1.027   -4.927   -3.197   -1.901   -0.963   -1.574    1.607
 177     4000  0.00   -0.904   -6.103   -3.763   -1.933   -0.887   -1.479    1.632
 178     4000  0.50   -0.887   -5.769   -3.562   -1.839   -0.864   -1.416    1.702
 179     4000  1.00   -0.884   -5.486   -3.403   -1.776   -0.854   -1.380    1.746
 180     4000  1.50   -0.888   -5.257   -3.280   -1.735   -0.851   -1.361    1.775
 181     4000  2.00   -0.894   -5.077   -3.183   -1.706   -0.850   -1.353    1.795
 182     4000  2.50   -0.900   -4.940   -3.102   -1.683   -0.849   -1.348    1.810
 183     4000  3.00   -0.901   -4.836   -3.034   -1.660   -0.844   -1.344    1.826
 184     4000  3.50   -0.895   -4.766   -2.979   -1.637   -0.832   -1.338    1.843
 185     4000  4.00   -0.882   -4.703   -2.946   -1.636   -0.818   -1.336    1.849
 186     4000  4.50   -0.858   -4.621   -2.914   -1.636   -0.796   -1.326    1.859
 187     4000  5.00   -0.837   -4.555   -2.896   -1.629   -0.775   -1.313    1.873
 188     4250  0.00   -0.651   -5.253   -3.196   -1.577   -0.636   -1.156    1.951
 189     4250  0.50   -0.633   -4.956   -3.017   -1.491   -0.615   -1.098    2.014
 190     4250  1.00   -0.628   -4.703   -2.878   -1.433   -0.607   -1.063    2.053
 191     4250  1.50   -0.631   -4.500   -2.771   -1.396   -0.606   -1.044    2.078
 192     4250  2.00   -0.639   -4.341   -2.690   -1.371   -0.608   -1.036    2.094
 193     4250  2.50   -0.650   -4.228   -2.631   -1.353   -0.612   -1.032    2.108
 194     4250  3.00   -0.660   -4.161   -2.593   -1.339   -0.615   -1.032    2.118
 195     4250  3.50   -0.670   -4.142   -2.576   -1.330   -0.617   -1.037    2.126
 196     4250  4.00   -0.678   -4.158   -2.575   -1.327   -0.617   -1.045    2.130
 197     4250  4.50   -0.680   -4.183   -2.590   -1.346   -0.617   -1.062    2.120
 198     4250  5.00   -0.674   -4.181   -2.598   -1.366   -0.611   -1.074    2.111
 199     4500  0.00   -0.470   -4.596   -2.725   -1.302   -0.455   -0.914    2.194
 200     4500  0.50   -0.454   -4.342   -2.577   -1.229   -0.437   -0.864    2.246
 201     4500  1.00   -0.448   -4.127   -2.463   -1.180   -0.430   -0.834    2.279
 202     4500  1.50   -0.449   -3.955   -2.377   -1.149   -0.429   -0.818    2.299
 203     4500  2.00   -0.455   -3.818   -2.311   -1.127   -0.432   -0.810    2.312
 204     4500  2.50   -0.463   -3.717   -2.262   -1.111   -0.435   -0.806    2.322
 205     4500  3.00   -0.472   -3.650   -2.226   -1.098   -0.439   -0.804    2.331
 206     4500  3.50   -0.483   -3.623   -2.206   -1.088   -0.442   -0.805    2.340
 207     4500  4.00   -0.493   -3.634   -2.203   -1.081   -0.443   -0.809    2.347
 208     4500  4.50   -0.504   -3.675   -2.217   -1.080   -0.445   -0.818    2.350
 209     4500  5.00   -0.512   -3.734   -2.248   -1.094   -0.449   -0.833    2.344
 210     4750  0.00   -0.332   -4.063   -2.295   -1.064   -0.316   -0.715    2.395
 211     4750  0.50   -0.321   -3.837   -2.179   -1.010   -0.304   -0.678    2.434
 212     4750  1.00   -0.316   -3.645   -2.090   -0.974   -0.299   -0.655    2.458
 213     4750  1.50   -0.317   -3.492   -2.025   -0.950   -0.299   -0.643    2.473
 214     4750  2.00   -0.320   -3.373   -1.978   -0.934   -0.301   -0.637    2.482
 215     4750  2.50   -0.325   -3.284   -1.944   -0.923   -0.304   -0.634    2.488
