# Alambda for ATLAS9 + DUSTY99 + blackbody spectra:
#  n      Teff  logg  Av   Rv          I        J        H       Ks
  38      1100  5.00  4.0  3.1     2.245    1.099    0.706    0.464 
  38      1100  5.00  5.0  3.1     2.800    1.372    0.883    0.579 
  38      1100  5.00  6.0  3.1     3.353    1.646    1.059    0.695 
  38      1100  5.00  7.0  3.1     3.904    1.919    1.235    0.811 
  38      1100  5.00  8.0  3.1     4.453    2.191    1.410    0.927 
  38      1100  5.00  9.0  3.1     5.000    2.463    1.586    1.042 
  38      1100  5.00 10.0  3.1     5.545    2.735    1.762    1.158 
  39      1100  5.50  1.0  3.1     0.566    0.276    0.177    0.116 
  39      1100  5.50  2.0  3.1     1.129    0.551    0.354    0.233 
  39      1100  5.50  3.0  3.1     1.690    0.826    0.531    0.349 
  39      1100  5.50  4.0  3.1     2.248    1.100    0.708    0.465 
  39      1100  5.50  5.0  3.1     2.804    1.374    0.885    0.581 
  39      1100  5.50  6.0  3.1     3.358    1.648    1.061    0.697 
  39      1100  5.50  7.0  3.1     3.909    1.921    1.238    0.814 
  39      1100  5.50  8.0  3.1     4.459    2.194    1.414    0.930 
  39      1100  5.50  9.0  3.1     5.007    2.466    1.590    1.046 
  39      1100  5.50 10.0  3.1     5.552    2.738    1.766    1.162 
  40      1100  6.00  1.0  3.1     0.557    0.274    0.176    0.115 
