# BCs for ATLAS9 + DUSTY99 + blackbody spectra:
#  n     Teff  logg        I        J        H       Ks
 318     7250  1.50    0.313    0.517    0.628    0.645
 319     7250  2.00    0.321    0.527    0.644    0.661
 320     7250  2.50    0.330    0.536    0.659    0.675
 321     7250  3.00    0.333    0.540    0.670    0.685
 322     7250  3.50    0.331    0.540    0.679    0.692
 323     7250  4.00    0.326    0.537    0.687    0.697
 324     7250  4.50    0.320    0.532    0.694    0.700
 325     7250  5.00    0.313    0.528    0.701    0.702
 326     7500  0.50    0.265    0.408    0.487    0.501
 327     7500  1.00    0.254    0.417    0.502    0.515
 328     7500  1.50    0.258    0.430    0.518    0.532
 329     7500  2.00    0.265    0.440    0.533    0.547
 330     7500  2.50    0.273    0.449    0.546    0.561
 331     7500  3.00    0.281    0.456    0.559    0.573
 332     7500  3.50    0.283    0.459    0.570    0.582
 333     7500  4.00    0.281    0.458    0.579    0.588
 334     7500  4.50    0.276    0.454    0.587    0.592
 335     7500  5.00    0.269    0.450    0.594    0.594
 336     7750  1.00    0.204    0.334    0.402    0.411
 337     7750  1.50    0.204    0.345    0.415    0.425
 338     7750  2.00    0.210    0.355    0.427    0.439
 339     7750  2.50    0.217    0.363    0.439    0.451
 340     7750  3.00    0.225    0.371    0.450    0.463
 341     7750  3.50    0.232    0.377    0.462    0.474
 342     7750  4.00    0.233    0.379    0.472    0.481
 343     7750  4.50    0.230    0.377    0.482    0.487
 344     7750  5.00    0.224    0.373    0.490    0.490
 345     8000  1.00    0.158    0.254    0.311    0.315
 346     8000  1.50    0.150    0.261    0.317    0.323
 347     8000  2.00    0.153    0.270    0.327    0.335
 348     8000  2.50    0.160    0.279    0.337    0.347
 349     8000  3.00    0.167    0.287    0.347    0.358
 350     8000  3.50    0.175    0.294    0.357    0.368
 351     8000  4.00    0.182    0.299    0.369    0.377
 352     8000  4.50    0.183    0.300    0.379    0.384
 353     8000  5.00    0.179    0.297    0.389    0.388
 354     8250  1.00    0.114    0.177    0.226    0.226
 355     8250  1.50    0.096    0.180    0.225    0.227
 356     8250  2.00    0.096    0.187    0.231    0.236
 357     8250  2.50    0.101    0.196    0.239    0.246
 358     8250  3.00    0.109    0.203    0.247    0.256
 359     8250  3.50    0.116    0.210    0.257    0.266
 360     8250  4.00    0.126    0.217    0.268    0.276
 361     8250  4.50    0.132    0.222    0.279    0.284
 362     8250  5.00    0.131    0.221    0.290    0.289
 363     8500  1.50    0.043    0.101    0.138    0.136
 364     8500  2.00    0.038    0.106    0.141    0.141
 365     8500  2.50    0.042    0.113    0.146    0.149
 366     8500  3.00    0.048    0.121    0.152    0.158
 367     8500  3.50    0.056    0.127    0.160    0.168
 368     8500  4.00    0.064    0.134    0.169    0.177
 369     8500  4.50    0.076    0.141    0.181    0.186
 370     8500  5.00    0.081    0.145    0.193    0.193
 371     8750  1.50   -0.010    0.022    0.055    0.049
 372     8750  2.00   -0.018    0.026    0.054    0.050
 373     8750  2.50   -0.018    0.032    0.057    0.056
 374     8750  3.00   -0.013    0.039    0.061    0.064
 375     8750  3.50   -0.006    0.045    0.067    0.072
 376     8750  4.00    0.003    0.052    0.075    0.080
 377     8750  4.50    0.013    0.058    0.084    0.089
 378     8750  5.00    0.025    0.066    0.098    0.098
 379     9000  1.50   -0.066   -0.056   -0.028   -0.036
 380     9000  2.00   -0.075   -0.051   -0.029   -0.037
 381     9000  2.50   -0.077   -0.047   -0.029   -0.033
 382     9000  3.00   -0.074   -0.042   -0.027   -0.027
 383     9000  3.50   -0.069   -0.036   -0.023   -0.021
 384     9000  4.00   -0.060   -0.030   -0.017   -0.013
 385     9000  4.50   -0.051   -0.023   -0.008   -0.005
