# BCs for ATLAS9 + DUSTY99 + blackbody spectra:
#  n     Teff  logg        U        B        V        R        I        J        H        K
 264     5750  5.00   -1.116   -0.790   -0.043    0.373    0.697    1.111    1.433    1.467
 265     6000  0.00   -1.198   -0.558    0.089    0.411    0.668    1.014    1.205    1.262
 266     6000  0.50   -1.190   -0.582    0.078    0.410    0.671    1.026    1.234    1.286
 267     6000  1.00   -1.152   -0.596    0.066    0.406    0.673    1.031    1.253    1.301
 268     6000  1.50   -1.102   -0.606    0.055    0.400    0.672    1.033    1.266    1.311
 269     6000  2.00   -1.050   -0.615    0.043    0.394    0.671    1.033    1.275    1.318
 270     6000  2.50   -1.000   -0.624    0.032    0.387    0.669    1.031    1.283    1.323
 271     6000  3.00   -0.956   -0.634    0.022    0.380    0.667    1.029    1.289    1.326
 272     6000  3.50   -0.920   -0.644    0.012    0.375    0.665    1.028    1.294    1.329
 273     6000  4.00   -0.893   -0.654    0.004    0.371    0.664    1.027    1.300    1.332
 274     6000  4.50   -0.881   -0.665   -0.002    0.369    0.664    1.027    1.305    1.335
 275     6000  5.00   -0.881   -0.675   -0.006    0.370    0.665    1.028    1.310    1.338
 276     6250  0.50   -0.934   -0.420    0.112    0.391    0.617    0.925    1.098    1.145
 277     6250  1.00   -0.926   -0.448    0.103    0.392    0.624    0.936    1.121    1.165
 278     6250  1.50   -0.896   -0.468    0.092    0.390    0.627    0.942    1.137    1.178
 279     6250  2.00   -0.856   -0.484    0.079    0.385    0.628    0.944    1.149    1.187
 280     6250  2.50   -0.815   -0.500    0.067    0.379    0.628    0.944    1.158    1.194
 281     6250  3.00   -0.776   -0.516    0.055    0.373    0.627    0.944    1.166    1.199
 282     6250  3.50   -0.742   -0.532    0.044    0.367    0.626    0.943    1.173    1.203
 283     6250  4.00   -0.714   -0.548    0.034    0.363    0.626    0.943    1.179    1.206
 284     6250  4.50   -0.695   -0.562    0.026    0.360    0.626    0.943    1.185    1.210
 285     6250  5.00   -0.688   -0.576    0.020    0.360    0.628    0.944    1.190    1.213
 286     6500  0.50   -0.720   -0.285    0.137    0.365    0.558    0.823    0.967    1.009
 287     6500  1.00   -0.730   -0.310    0.127    0.368    0.566    0.837    0.991    1.030
 288     6500  1.50   -0.723   -0.342    0.119    0.371    0.574    0.848    1.010    1.047
 289     6500  2.00   -0.698   -0.367    0.107    0.370    0.579    0.854    1.024    1.059
 290     6500  2.50   -0.666   -0.389    0.094    0.366    0.582    0.857    1.035    1.068
 291     6500  3.00   -0.632   -0.411    0.081    0.360    0.583    0.858    1.045    1.075
 292     6500  3.50   -0.599   -0.433    0.068    0.354    0.583    0.858    1.053    1.080
 293     6500  4.00   -0.571   -0.454    0.056    0.349    0.583    0.858    1.060    1.084
 294     6500  4.50   -0.548   -0.474    0.046    0.345    0.584    0.858    1.067    1.088
 295     6500  5.00   -0.533   -0.492    0.038    0.344    0.586    0.859    1.074    1.092
 296     6750  0.50   -0.536   -0.175    0.152    0.336    0.498    0.722    0.841    0.877
 297     6750  1.00   -0.561   -0.196    0.143    0.339    0.506    0.739    0.865    0.900
