# Alambda for ATLAS9 + DUSTY99 + blackbody spectra:
#  n      Teff  logg  Av   Rv          U        B        V        R        I        J        H        K
 481     12500  5.00  4.0  3.1     6.162    5.249    4.037    3.270    2.408    1.169    0.735    0.459 
 481     12500  5.00  5.0  3.1     7.682    6.536    5.030    4.066    2.999    1.459    0.919    0.573 
 481     12500  5.00  6.0  3.1     9.196    7.812    6.018    4.853    3.587    1.748    1.102    0.687 
 481     12500  5.00  7.0  3.1    10.703    9.077    7.000    5.631    4.171    2.037    1.285    0.801 
 481     12500  5.00  8.0  3.1    12.205   10.330    7.975    6.398    4.751    2.325    1.467    0.916 
 481     12500  5.00  9.0  3.1    13.702   11.571    8.944    7.155    5.327    2.613    1.650    1.030 
 481     12500  5.00 10.0  3.1    15.194   12.801    9.907    7.903    5.900    2.899    1.832    1.144 
 482     12750  2.50  1.0  3.1     1.551    1.330    1.018    0.829    0.607    0.293    0.184    0.115 
 482     12750  2.50  2.0  3.1     3.093    2.651    2.030    1.650    1.210    0.586    0.368    0.230 
 482     12750  2.50  3.0  3.1     4.626    3.962    3.036    2.463    1.809    0.877    0.551    0.344 
 482     12750  2.50  4.0  3.1     6.152    5.262    4.035    3.268    2.404    1.168    0.735    0.459 
 482     12750  2.50  5.0  3.1     7.670    6.553    5.029    4.063    2.995    1.458    0.918    0.573 
 482     12750  2.50  6.0  3.1     9.183    7.832    6.016    4.850    3.582    1.748    1.101    0.688 
 482     12750  2.50  7.0  3.1    10.689    9.099    6.997    5.627    4.165    2.037    1.284    0.802 
 482     12750  2.50  8.0  3.1    12.191   10.355    7.972    6.394    4.744    2.325    1.466    0.916 
 482     12750  2.50  9.0  3.1    13.688   11.598    8.940    7.151    5.319    2.612    1.649    1.030 
 482     12750  2.50 10.0  3.1    15.181   12.830    9.903    7.898    5.891    2.898    1.831    1.144 
 483     12750  3.00  1.0  3.1     1.550    1.330    1.018    0.829    0.607    0.293    0.184    0.115 
 483     12750  3.00  2.0  3.1     3.091    2.650    2.030    1.651    1.210    0.586    0.368    0.229 
 483     12750  3.00  3.0  3.1     4.624    3.961    3.036    2.464    1.809    0.877    0.552    0.344 
 483     12750  3.00  4.0  3.1     6.148    5.262    4.036    3.269    2.404    1.168    0.735    0.458 
 483     12750  3.00  5.0  3.1     7.666    6.552    5.030    4.065    2.995    1.458    0.918    0.573 
 483     12750  3.00  6.0  3.1     9.177    7.831    6.017    4.852    3.582    1.748    1.101    0.687 
 483     12750  3.00  7.0  3.1    10.683    9.099    6.999    5.629    4.165    2.037    1.284    0.801 
 483     12750  3.00  8.0  3.1    12.183   10.355    7.974    6.396    4.744    2.325    1.467    0.916 
 483     12750  3.00  9.0  3.1    13.679   11.599    8.943    7.154    5.320    2.612    1.649    1.030 
 483     12750  3.00 10.0  3.1    15.171   12.830    9.905    7.901    5.892    2.899    1.831    1.144 
 484     12750  3.50  1.0  3.1     1.550    1.329    1.018    0.829    0.607    0.294    0.184    0.114 
 484     12750  3.50  2.0  3.1     3.091    2.649    2.030    1.651    1.211    0.586    0.368    0.229 
 484     12750  3.50  3.0  3.1     4.624    3.959    3.036    2.465    1.810    0.878    0.552    0.344 
 484     12750  3.50  4.0  3.1     6.148    5.260    4.036    3.270    2.405    1.169    0.735    0.458 
 484     12750  3.50  5.0  3.1     7.666    6.550    5.030    4.066    2.996    1.459    0.918    0.573 
 484     12750  3.50  6.0  3.1     9.177    7.829    6.018    4.853    3.584    1.749    1.101    0.687 
 484     12750  3.50  7.0  3.1    10.682    9.096    6.999    5.630    4.167    2.037    1.284    0.801 
 484     12750  3.50  8.0  3.1    12.183   10.352    7.974    6.398    4.746    2.326    1.467    0.915 
 484     12750  3.50  9.0  3.1    13.678   11.595    8.943    7.155    5.322    2.613    1.649    1.029 
 484     12750  3.50 10.0  3.1    15.170   12.827    9.906    7.902    5.894    2.899    1.831    1.143 
 485     12750  4.00  1.0  3.1     1.551    1.328    1.018    0.829    0.608    0.293    0.184    0.115 
 485     12750  4.00  2.0  3.1     3.093    2.648    2.030    1.651    1.212    0.585    0.368    0.229 
 485     12750  4.00  3.0  3.1     4.627    3.958    3.037    2.464    1.811    0.877    0.552    0.344 
 485     12750  4.00  4.0  3.1     6.152    5.258    4.037    3.270    2.406    1.168    0.735    0.458 
 485     12750  4.00  5.0  3.1     7.670    6.547    5.031    4.066    2.998    1.458    0.918    0.573 
 485     12750  4.00  6.0  3.1     9.182    7.825    6.018    4.853    3.585    1.748    1.101    0.687 
 485     12750  4.00  7.0  3.1    10.688    9.092    7.000    5.630    4.169    2.037    1.284    0.801 
 485     12750  4.00  8.0  3.1    12.188   10.347    7.975    6.398    4.748    2.325    1.467    0.916 
 485     12750  4.00  9.0  3.1    13.684   11.590    8.944    7.156    5.324    2.612    1.649    1.030 
 485     12750  4.00 10.0  3.1    15.176   12.821    9.907    7.903    5.897    2.899    1.831    1.144 
 486     12750  4.50  1.0  3.1     1.553    1.328    1.019    0.830    0.608    0.293    0.184    0.114 
 486     12750  4.50  2.0  3.1     3.096    2.646    2.031    1.651    1.212    0.586    0.368    0.229 
 486     12750  4.50  3.0  3.1     4.631    3.955    3.037    2.465    1.812    0.877    0.552    0.344 
 486     12750  4.50  4.0  3.1     6.158    5.254    4.037    3.270    2.407    1.168    0.735    0.458 
 486     12750  4.50  5.0  3.1     7.677    6.543    5.031    4.067    2.999    1.459    0.918    0.573 
 486     12750  4.50  6.0  3.1     9.190    7.820    6.019    4.854    3.587    1.748    1.101    0.687 
 486     12750  4.50  7.0  3.1    10.696    9.087    7.001    5.631    4.170    2.037    1.284    0.801 
 486     12750  4.50  8.0  3.1    12.198   10.341    7.976    6.399    4.750    2.325    1.467    0.915 
 486     12750  4.50  9.0  3.1    13.694   11.583    8.945    7.157    5.326    2.612    1.649    1.029 
 486     12750  4.50 10.0  3.1    15.186   12.814    9.908    7.904    5.899    2.899    1.831    1.143 
 487     12750  5.00  1.0  3.1     1.556    1.326    1.019    0.830    0.608    0.293    0.184    0.115 
 487     12750  5.00  2.0  3.1     3.101    2.644    2.031    1.652    1.212    0.586    0.368    0.229 
 487     12750  5.00  3.0  3.1     4.638    3.952    3.037    2.466    1.811    0.878    0.552    0.344 
 487     12750  5.00  4.0  3.1     6.166    5.250    4.037    3.271    2.407    1.169    0.735    0.458 
 487     12750  5.00  5.0  3.1     7.688    6.537    5.031    4.067    2.999    1.459    0.919    0.573 
 487     12750  5.00  6.0  3.1     9.202    7.813    6.019    4.854    3.587    1.748    1.102    0.687 
 487     12750  5.00  7.0  3.1    10.710    9.079    7.001    5.632    4.171    2.037    1.285    0.801 
 487     12750  5.00  8.0  3.1    12.213   10.332    7.976    6.399    4.751    2.325    1.467    0.915 
 487     12750  5.00  9.0  3.1    13.710   11.574    8.945    7.157    5.327    2.612    1.650    1.029 
 487     12750  5.00 10.0  3.1    15.203   12.803    9.908    7.904    5.900    2.899    1.832    1.143 
 488     13000  2.50  1.0  3.1     1.553    1.330    1.018    0.829    0.607    0.293    0.184    0.114 
 488     13000  2.50  2.0  3.1     3.096    2.651    2.030    1.650    1.210    0.585    0.368    0.229 
 488     13000  2.50  3.0  3.1     4.630    3.962    3.035    2.463    1.810    0.877    0.551    0.344 
 488     13000  2.50  4.0  3.1     6.157    5.263    4.035    3.268    2.404    1.168    0.735    0.458 
 488     13000  2.50  5.0  3.1     7.677    6.553    5.029    4.064    2.995    1.458    0.918    0.572 
 488     13000  2.50  6.0  3.1     9.190    7.832    6.016    4.850    3.582    1.748    1.101    0.687 
 488     13000  2.50  7.0  3.1    10.698    9.100    6.997    5.627    4.165    2.036    1.284    0.801 
 488     13000  2.50  8.0  3.1    12.200   10.356    7.972    6.395    4.744    2.324    1.466    0.915 
 488     13000  2.50  9.0  3.1    13.698   11.600    8.941    7.152    5.320    2.612    1.649    1.029 
 488     13000  2.50 10.0  3.1    15.191   12.831    9.903    7.899    5.891    2.898    1.831    1.143 
 489     13000  3.00  1.0  3.1     1.551    1.330    1.018    0.829    0.608    0.294    0.184    0.115 
 489     13000  3.00  2.0  3.1     3.093    2.650    2.030    1.651    1.211    0.586    0.368    0.230 
 489     13000  3.00  3.0  3.1     4.626    3.961    3.036    2.464    1.810    0.878    0.551    0.344 
 489     13000  3.00  4.0  3.1     6.152    5.263    4.036    3.269    2.405    1.169    0.735    0.459 
 489     13000  3.00  5.0  3.1     7.671    6.553    5.030    4.065    2.996    1.459    0.918    0.573 
 489     13000  3.00  6.0  3.1     9.183    7.832    6.018    4.852    3.583    1.749    1.101    0.687 
 489     13000  3.00  7.0  3.1    10.689    9.100    6.999    5.630    4.167    2.037    1.284    0.802 
 489     13000  3.00  8.0  3.1    12.191   10.356    7.974    6.397    4.746    2.326    1.466    0.916 
 489     13000  3.00  9.0  3.1    13.687   11.600    8.943    7.155    5.321    2.613    1.649    1.030 
 489     13000  3.00 10.0  3.1    15.180   12.832    9.906    7.902    5.893    2.899    1.831    1.144 
 490     13000  3.50  1.0  3.1     1.552    1.329    1.019    0.829    0.608    0.293    0.184    0.115 
 490     13000  3.50  2.0  3.1     3.094    2.650    2.031    1.651    1.211    0.586    0.368    0.229 
 490     13000  3.50  3.0  3.1     4.628    3.961    3.037    2.465    1.811    0.878    0.551    0.344 
 490     13000  3.50  4.0  3.1     6.153    5.261    4.037    3.270    2.406    1.169    0.735    0.458 
 490     13000  3.50  5.0  3.1     7.672    6.551    5.031    4.066    2.997    1.459    0.918    0.573 
 490     13000  3.50  6.0  3.1     9.184    7.830    6.019    4.853    3.584    1.748    1.101    0.687 
 490     13000  3.50  7.0  3.1    10.690    9.098    7.000    5.631    4.168    2.037    1.284    0.801 
 490     13000  3.50  8.0  3.1    12.191   10.354    7.975    6.398    4.747    2.325    1.466    0.915 
 490     13000  3.50  9.0  3.1    13.688   11.597    8.944    7.156    5.323    2.612    1.649    1.029 
 490     13000  3.50 10.0  3.1    15.180   12.829    9.907    7.903    5.895    2.899    1.831    1.143 
 491     13000  4.00  1.0  3.1     1.553    1.329    1.018    0.830    0.607    0.293    0.184    0.115 
 491     13000  4.00  2.0  3.1     3.096    2.649    2.030    1.652    1.211    0.586    0.368    0.229 
 491     13000  4.00  3.0  3.1     4.630    3.959    3.037    2.465    1.811    0.878    0.552    0.344 
 491     13000  4.00  4.0  3.1     6.157    5.259    4.037    3.271    2.406    1.169    0.735    0.458 
 491     13000  4.00  5.0  3.1     7.676    6.548    5.031    4.067    2.997    1.459    0.919    0.573 
 491     13000  4.00  6.0  3.1     9.188    7.827    6.018    4.854    3.585    1.748    1.102    0.687 
 491     13000  4.00  7.0  3.1    10.695    9.094    7.000    5.632    4.169    2.037    1.284    0.801 
 491     13000  4.00  8.0  3.1    12.196   10.349    7.975    6.399    4.748    2.325    1.467    0.916 
 491     13000  4.00  9.0  3.1    13.693   11.592    8.944    7.157    5.324    2.613    1.649    1.030 
 491     13000  4.00 10.0  3.1    15.185   12.824    9.907    7.904    5.897    2.899    1.832    1.144 
 492     13000  4.50  1.0  3.1     1.554    1.327    1.019    0.829    0.607    0.294    0.184    0.114 
 492     13000  4.50  2.0  3.1     3.098    2.646    2.031    1.651    1.211    0.586    0.368    0.229 
 492     13000  4.50  3.0  3.1     4.634    3.955    3.037    2.465    1.811    0.878    0.552    0.344 
 492     13000  4.50  4.0  3.1     6.162    5.254    4.038    3.270    2.407    1.169    0.735    0.458 
 492     13000  4.50  5.0  3.1     7.682    6.543    5.032    4.067    2.998    1.459    0.919    0.573 
 492     13000  4.50  6.0  3.1     9.196    7.821    6.019    4.854    3.586    1.749    1.102    0.687 
 492     13000  4.50  7.0  3.1    10.703    9.087    7.001    5.632    4.170    2.037    1.285    0.801 
 492     13000  4.50  8.0  3.1    12.205   10.342    7.976    6.399    4.750    2.325    1.467    0.915 
 492     13000  4.50  9.0  3.1    13.703   11.584    8.946    7.157    5.326    2.613    1.650    1.029 
 492     13000  4.50 10.0  3.1    15.196   12.815    9.909    7.904    5.899    2.899    1.832    1.143 
 493     13000  5.00  1.0  3.1     1.556    1.326    1.019    0.830    0.608    0.293    0.184    0.115 
 493     13000  5.00  2.0  3.1     3.103    2.644    2.031    1.652    1.212    0.586    0.368    0.230 
 493     13000  5.00  3.0  3.1     4.640    3.952    3.037    2.466    1.812    0.877    0.552    0.344 
 493     13000  5.00  4.0  3.1     6.170    5.250    4.038    3.271    2.408    1.168    0.735    0.459 
 493     13000  5.00  5.0  3.1     7.692    6.538    5.032    4.067    3.000    1.459    0.918    0.573 
 493     13000  5.00  6.0  3.1     9.207    7.815    6.019    4.855    3.588    1.748    1.102    0.688 
 493     13000  5.00  7.0  3.1    10.716    9.080    7.001    5.632    4.172    2.037    1.284    0.802 
 493     13000  5.00  8.0  3.1    12.219   10.334    7.977    6.400    4.752    2.325    1.467    0.916 
 493     13000  5.00  9.0  3.1    13.717   11.575    8.946    7.158    5.328    2.612    1.649    1.030 
 493     13000  5.00 10.0  3.1    15.211   12.805    9.909    7.905    5.901    2.899    1.832    1.144 
 494     14000  2.00  1.0  3.1     1.560    1.330    1.018    0.829    0.607    0.293    0.185    0.115 
 494     14000  2.00  2.0  3.1     3.112    2.651    2.030    1.650    1.211    0.585    0.368    0.230 
 494     14000  2.00  3.0  3.1     4.654    3.962    3.035    2.463    1.810    0.877    0.552    0.344 
 494     14000  2.00  4.0  3.1     6.188    5.263    4.035    3.267    2.405    1.168    0.736    0.459 
 494     14000  2.00  5.0  3.1     7.715    6.553    5.028    4.063    2.997    1.458    0.919    0.573 
 494     14000  2.00  6.0  3.1     9.235    7.832    6.015    4.850    3.584    1.748    1.102    0.687 
 494     14000  2.00  7.0  3.1    10.749    9.099    6.996    5.627    4.167    2.037    1.285    0.802 
 494     14000  2.00  8.0  3.1    12.258   10.354    7.971    6.394    4.747    2.325    1.467    0.916 
 494     14000  2.00  9.0  3.1    13.761   11.597    8.939    7.151    5.322    2.612    1.650    1.030 
 494     14000  2.00 10.0  3.1    15.260   12.828    9.902    7.898    5.895    2.898    1.832    1.144 
 495     14000  2.50  1.0  3.1     1.557    1.331    1.018    0.830    0.608    0.293    0.184    0.115 
 495     14000  2.50  2.0  3.1     3.104    2.652    2.030    1.651    1.211    0.586    0.368    0.230 
 495     14000  2.50  3.0  3.1     4.643    3.964    3.036    2.465    1.811    0.877    0.551    0.344 
 495     14000  2.50  4.0  3.1     6.173    5.265    4.036    3.270    2.406    1.168    0.735    0.459 
 495     14000  2.50  5.0  3.1     7.697    6.556    5.030    4.066    2.997    1.459    0.918    0.573 
 495     14000  2.50  6.0  3.1     9.213    7.836    6.018    4.853    3.584    1.748    1.101    0.688 
 495     14000  2.50  7.0  3.1    10.724    9.104    6.999    5.631    4.168    2.037    1.284    0.802 
 495     14000  2.50  8.0  3.1    12.229   10.361    7.974    6.399    4.747    2.325    1.467    0.916 
 495     14000  2.50  9.0  3.1    13.729   11.605    8.943    7.156    5.323    2.612    1.649    1.030 
 495     14000  2.50 10.0  3.1    15.225   12.837    9.906    7.904    5.895    2.899    1.831    1.144 
 496     14000  3.00  1.0  3.1     1.556    1.331    1.019    0.829    0.607    0.293    0.184    0.114 
 496     14000  3.00  2.0  3.1     3.102    2.652    2.031    1.651    1.211    0.586    0.368    0.229 
 496     14000  3.00  3.0  3.1     4.639    3.964    3.037    2.465    1.810    0.877    0.551    0.344 
 496     14000  3.00  4.0  3.1     6.169    5.265    4.038    3.270    2.406    1.168    0.735    0.458 
 496     14000  3.00  5.0  3.1     7.691    6.556    5.032    4.067    2.997    1.459    0.918    0.573 
 496     14000  3.00  6.0  3.1     9.206    7.836    6.019    4.854    3.584    1.748    1.101    0.687 
 496     14000  3.00  7.0  3.1    10.715    9.105    7.001    5.632    4.168    2.037    1.284    0.801 
 496     14000  3.00  8.0  3.1    12.219   10.361    7.976    6.400    4.747    2.325    1.466    0.915 
 496     14000  3.00  9.0  3.1    13.719   11.606    8.946    7.158    5.323    2.612    1.649    1.029 
 496     14000  3.00 10.0  3.1    15.214   12.838    9.909    7.905    5.895    2.899    1.831    1.143 
 497     14000  3.50  1.0  3.1     1.556    1.329    1.019    0.830    0.608    0.293    0.184    0.115 
 497     14000  3.50  2.0  3.1     3.102    2.650    2.031    1.652    1.212    0.586    0.368    0.229 
 497     14000  3.50  3.0  3.1     4.640    3.962    3.038    2.466    1.811    0.878    0.552    0.344 
 497     14000  3.50  4.0  3.1     6.169    5.263    4.038    3.272    2.407    1.169    0.735    0.458 
 497     14000  3.50  5.0  3.1     7.691    6.554    5.032    4.068    2.998    1.459    0.918    0.573 
 497     14000  3.50  6.0  3.1     9.206    7.834    6.020    4.856    3.586    1.749    1.102    0.687 
 497     14000  3.50  7.0  3.1    10.715    9.102    7.002    5.634    4.170    2.037    1.284    0.801 
 497     14000  3.50  8.0  3.1    12.219   10.358    7.977    6.402    4.749    2.325    1.467    0.915 
 497     14000  3.50  9.0  3.1    13.718   11.603    8.947    7.160    5.325    2.613    1.649    1.030 
 497     14000  3.50 10.0  3.1    15.213   12.835    9.910    7.908    5.898    2.900    1.832    1.143 
 498     14000  4.00  1.0  3.1     1.556    1.330    1.018    0.829    0.608    0.293    0.184    0.114 
 498     14000  4.00  2.0  3.1     3.104    2.650    2.031    1.652    1.212    0.586    0.368    0.229 
 498     14000  4.00  3.0  3.1     4.642    3.961    3.037    2.466    1.812    0.877    0.552    0.344 
 498     14000  4.00  4.0  3.1     6.172    5.262    4.038    3.271    2.407    1.168    0.735    0.458 
 498     14000  4.00  5.0  3.1     7.694    6.552    5.032    4.068    2.999    1.459    0.919    0.573 
 498     14000  4.00  6.0  3.1     9.210    7.831    6.020    4.855    3.587    1.748    1.102    0.687 
 498     14000  4.00  7.0  3.1    10.720    9.099    7.002    5.633    4.171    2.037    1.284    0.801 
 498     14000  4.00  8.0  3.1    12.224   10.355    7.977    6.402    4.751    2.325    1.467    0.915 
 498     14000  4.00  9.0  3.1    13.723   11.599    8.947    7.160    5.327    2.612    1.649    1.029 
 498     14000  4.00 10.0  3.1    15.218   12.831    9.910    7.908    5.899    2.899    1.832    1.143 
 499     14000  4.50  1.0  3.1     1.558    1.329    1.019    0.829    0.608    0.294    0.184    0.115 
 499     14000  4.50  2.0  3.1     3.107    2.648    2.032    1.652    1.212    0.586    0.368    0.230 
 499     14000  4.50  3.0  3.1     4.646    3.958    3.038    2.466    1.812    0.878    0.551    0.344 
 499     14000  4.50  4.0  3.1     6.177    5.258    4.038    3.271    2.408    1.169    0.735    0.459 
 499     14000  4.50  5.0  3.1     7.701    6.548    5.033    4.068    3.000    1.459    0.918    0.573 
 499     14000  4.50  6.0  3.1     9.218    7.826    6.021    4.856    3.588    1.749    1.101    0.687 
 499     14000  4.50  7.0  3.1    10.728    9.093    7.003    5.634    4.172    2.038    1.284    0.802 
 499     14000  4.50  8.0  3.1    12.233   10.349    7.978    6.402    4.752    2.326    1.467    0.916 
 499     14000  4.50  9.0  3.1    13.733   11.592    8.948    7.160    5.329    2.613    1.649    1.030 
 499     14000  4.50 10.0  3.1    15.228   12.824    9.911    7.908    5.902    2.900    1.831    1.144 
 500     14000  5.00  1.0  3.1     1.560    1.327    1.018    0.830    0.609    0.294    0.185    0.114 
 500     14000  5.00  2.0  3.1     3.110    2.646    2.031    1.652    1.213    0.586    0.369    0.229 
 500     14000  5.00  3.0  3.1     4.651    3.955    3.037    2.466    1.813    0.878    0.552    0.344 
 500     14000  5.00  4.0  3.1     6.184    5.254    4.038    3.272    2.409    1.169    0.736    0.458 
 500     14000  5.00  5.0  3.1     7.709    6.542    5.032    4.069    3.001    1.459    0.919    0.572 
 500     14000  5.00  6.0  3.1     9.227    7.820    6.020    4.857    3.589    1.749    1.102    0.687 
 500     14000  5.00  7.0  3.1    10.738    9.086    7.002    5.635    4.173    2.038    1.285    0.801 
 500     14000  5.00  8.0  3.1    12.244   10.341    7.977    6.403    4.754    2.326    1.468    0.915 
 500     14000  5.00  9.0  3.1    13.745   11.583    8.947    7.161    5.330    2.613    1.650    1.029 
 500     14000  5.00 10.0  3.1    15.241   12.814    9.910    7.909    5.903    2.900    1.833    1.143 
 501     15000  2.50  1.0  3.1     1.560    1.330    1.019    0.830    0.607    0.294    0.184    0.115 
 501     15000  2.50  2.0  3.1     3.111    2.652    2.032    1.652    1.211    0.586    0.368    0.230 
 501     15000  2.50  3.0  3.1     4.653    3.965    3.038    2.466    1.811    0.878    0.551    0.345 
 501     15000  2.50  4.0  3.1     6.187    5.267    4.038    3.271    2.406    1.169    0.735    0.459 
 501     15000  2.50  5.0  3.1     7.713    6.558    5.032    4.068    2.998    1.459    0.918    0.573 
 501     15000  2.50  6.0  3.1     9.233    7.838    6.020    4.856    3.585    1.749    1.101    0.688 
 501     15000  2.50  7.0  3.1    10.746    9.107    7.002    5.633    4.169    2.038    1.284    0.802 
 501     15000  2.50  8.0  3.1    12.253   10.364    7.977    6.402    4.749    2.326    1.467    0.916 
 501     15000  2.50  9.0  3.1    13.756   11.609    8.946    7.160    5.325    2.613    1.649    1.030 
 501     15000  2.50 10.0  3.1    15.254   12.841    9.910    7.908    5.897    2.900    1.831    1.144 
 502     15000  3.00  1.0  3.1     1.559    1.331    1.018    0.830    0.608    0.293    0.184    0.115 
 502     15000  3.00  2.0  3.1     3.109    2.653    2.031    1.652    1.212    0.586    0.368    0.229 
 502     15000  3.00  3.0  3.1     4.649    3.965    3.038    2.466    1.812    0.878    0.552    0.344 
 502     15000  3.00  4.0  3.1     6.182    5.268    4.038    3.272    2.407    1.169    0.735    0.458 
 502     15000  3.00  5.0  3.1     7.706    6.559    5.032    4.069    2.999    1.459    0.918    0.573 
 502     15000  3.00  6.0  3.1     9.224    7.840    6.020    4.856    3.586    1.749    1.101    0.687 
 502     15000  3.00  7.0  3.1    10.736    9.109    7.002    5.635    4.170    2.038    1.284    0.801 
 502     15000  3.00  8.0  3.1    12.243   10.366    7.978    6.403    4.750    2.326    1.467    0.916 
 502     15000  3.00  9.0  3.1    13.744   11.611    8.947    7.161    5.326    2.613    1.649    1.030 
 502     15000  3.00 10.0  3.1    15.241   12.844    9.911    7.909    5.898    2.900    1.831    1.144 
 503     15000  3.50  1.0  3.1     1.559    1.330    1.019    0.830    0.608    0.294    0.184    0.115 
 503     15000  3.50  2.0  3.1     3.108    2.652    2.032    1.653    1.212    0.586    0.368    0.229 
 503     15000  3.50  3.0  3.1     4.649    3.964    3.039    2.467    1.811    0.878    0.552    0.344 
 503     15000  3.50  4.0  3.1     6.181    5.266    4.039    3.273    2.407    1.169    0.735    0.458 
 503     15000  3.50  5.0  3.1     7.706    6.557    5.034    4.070    2.999    1.459    0.918    0.573 
 503     15000  3.50  6.0  3.1     9.224    7.837    6.022    4.858    3.587    1.749    1.101    0.687 
 503     15000  3.50  7.0  3.1    10.735    9.106    7.004    5.636    4.171    2.038    1.284    0.801 
 503     15000  3.50  8.0  3.1    12.241   10.363    7.979    6.404    4.751    2.326    1.467    0.915 
 503     15000  3.50  9.0  3.1    13.742   11.608    8.949    7.163    5.327    2.613    1.649    1.029 
 503     15000  3.50 10.0  3.1    15.239   12.841    9.912    7.911    5.899    2.900    1.831    1.143 
 504     15000  4.00  1.0  3.1     1.560    1.330    1.019    0.830    0.609    0.293    0.184    0.115 
 504     15000  4.00  2.0  3.1     3.110    2.651    2.032    1.652    1.213    0.586    0.368    0.230 
 504     15000  4.00  3.0  3.1     4.651    3.962    3.038    2.467    1.813    0.878    0.551    0.344 
 504     15000  4.00  4.0  3.1     6.184    5.264    4.039    3.273    2.409    1.169    0.735    0.459 
 504     15000  4.00  5.0  3.1     7.709    6.555    5.033    4.070    3.001    1.459    0.918    0.573 
 504     15000  4.00  6.0  3.1     9.228    7.834    6.022    4.858    3.589    1.749    1.101    0.688 
 504     15000  4.00  7.0  3.1    10.740    9.103    7.004    5.636    4.173    2.038    1.284    0.802 
 504     15000  4.00  8.0  3.1    12.246   10.359    7.979    6.405    4.753    2.326    1.467    0.916 
 504     15000  4.00  9.0  3.1    13.747   11.604    8.949    7.163    5.329    2.613    1.649    1.030 
 504     15000  4.00 10.0  3.1    15.244   12.836    9.912    7.912    5.902    2.900    1.831    1.144 
 505     15000  4.50  1.0  3.1     1.561    1.329    1.019    0.830    0.609    0.294    0.184    0.114 
 505     15000  4.50  2.0  3.1     3.113    2.649    2.032    1.652    1.213    0.586    0.368    0.229 
 505     15000  4.50  3.0  3.1     4.655    3.960    3.038    2.467    1.813    0.878    0.552    0.344 
 505     15000  4.50  4.0  3.1     6.189    5.261    4.039    3.273    2.409    1.169    0.735    0.458 
 505     15000  4.50  5.0  3.1     7.716    6.551    5.034    4.070    3.001    1.459    0.918    0.573 
 505     15000  4.50  6.0  3.1     9.235    7.830    6.022    4.858    3.590    1.749    1.102    0.687 
 505     15000  4.50  7.0  3.1    10.748    9.098    7.004    5.636    4.174    2.038    1.284    0.801 
 505     15000  4.50  8.0  3.1    12.255   10.354    7.980    6.405    4.754    2.326    1.467    0.915 
 505     15000  4.50  9.0  3.1    13.757   11.598    8.949    7.164    5.331    2.613    1.650    1.029 
 505     15000  4.50 10.0  3.1    15.254   12.830    9.913    7.912    5.904    2.900    1.832    1.143 
 506     15000  5.00  1.0  3.1     1.563    1.328    1.019    0.830    0.608    0.293    0.184    0.114 
 506     15000  5.00  2.0  3.1     3.116    2.648    2.032    1.653    1.213    0.586    0.368    0.229 
 506     15000  5.00  3.0  3.1     4.660    3.957    3.038    2.467    1.813    0.877    0.552    0.344 
 506     15000  5.00  4.0  3.1     6.195    5.257    4.039    3.273    2.409    1.168    0.736    0.458 
 506     15000  5.00  5.0  3.1     7.723    6.546    5.034    4.070    3.002    1.459    0.919    0.572 
 506     15000  5.00  6.0  3.1     9.243    7.825    6.022    4.858    3.590    1.748    1.102    0.687 
 506     15000  5.00  7.0  3.1    10.757    9.092    7.004    5.637    4.174    2.037    1.285    0.801 
 506     15000  5.00  8.0  3.1    12.266   10.347    7.980    6.405    4.755    2.325    1.468    0.915 
 506     15000  5.00  9.0  3.1    13.768   11.590    8.949    7.164    5.331    2.613    1.650    1.029 
 506     15000  5.00 10.0  3.1    15.266   12.821    9.913    7.912    5.905    2.899    1.832    1.143 
 507     16000  2.50  1.0  3.1     1.564    1.332    1.019    0.830    0.608    0.293    0.184    0.115 
 507     16000  2.50  2.0  3.1     3.118    2.654    2.032    1.653    1.212    0.586    0.368    0.229 
 507     16000  2.50  3.0  3.1     4.662    3.967    3.038    2.467    1.812    0.877    0.552    0.344 
 507     16000  2.50  4.0  3.1     6.199    5.269    4.039    3.273    2.407    1.169    0.735    0.458 
 507     16000  2.50  5.0  3.1     7.728    6.561    5.033    4.070    2.999    1.459    0.919    0.573 
 507     16000  2.50  6.0  3.1     9.250    7.842    6.021    4.858    3.587    1.748    1.102    0.687 
 507     16000  2.50  7.0  3.1    10.765    9.111    7.003    5.636    4.171    2.037    1.284    0.801 
 507     16000  2.50  8.0  3.1    12.275   10.368    7.979    6.405    4.751    2.325    1.467    0.915 
 507     16000  2.50  9.0  3.1    13.780   11.613    8.948    7.163    5.327    2.613    1.650    1.030 
 507     16000  2.50 10.0  3.1    15.280   12.846    9.912    7.912    5.900    2.899    1.832    1.143 
 508     16000  3.00  1.0  3.1     1.562    1.331    1.019    0.830    0.608    0.294    0.185    0.114 
 508     16000  3.00  2.0  3.1     3.114    2.653    2.032    1.653    1.212    0.586    0.369    0.229 
 508     16000  3.00  3.0  3.1     4.658    3.966    3.039    2.467    1.812    0.878    0.552    0.344 
 508     16000  3.00  4.0  3.1     6.193    5.269    4.040    3.273    2.408    1.169    0.736    0.458 
 508     16000  3.00  5.0  3.1     7.720    6.561    5.034    4.071    3.000    1.460    0.919    0.573 
 508     16000  3.00  6.0  3.1     9.240    7.842    6.022    4.859    3.587    1.749    1.102    0.687 
